City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,akureyri,65.6835,-18.0878,5.96,61,40,7.2,IS,1669905991
384,praia,14.9215,-23.5087,27.3,54,0,8.75,CV,1669906201
385,olafsvik,64.8945,-23.7142,5.72,80,75,14.68,IS,1669906201
386,sumbe,-11.2061,13.8437,26.79,78,99,4.19,AO,1669906202
387,cooma,-36.2333,149.1333,9.72,96,92,0.12,AU,1669906202
388,formosa,-26.1775,-58.1781,29.99,51,0,5.66,AR,1669906203
389,kidal,18.4411,1.4078,30.77,12,60,1.36,ML,1669906204
390,miri,4.4148,114.0089,24.08,100,40,4.12,MY,1669906205
391,yazman,29.1212,71.7446,21.34,18,93,2.51,PK,1669906205
392,khartoum,15.5518,32.5324,34.45,12,4,0.45,SD,1669906206
393,svetlyy,54.675,20.1347,1.03,87,100,3.52,RU,1669906206
394,ketchikan,55.3422,-131.6461,-7.74,67,0,1.54,US,1669906207
395,hirara,24.8,125.2833,23.07,75,100,10.9,JP,1669906208
396,bac lieu,9.285,105.7244,26.07,85,100,4.54,VN,1669906209
397,stromness,58.965,-3.296,9.98,93,100,6.26,GB,1669906209
398,mutis,6.2262,-77.4044,26.66,79,44,0.58,CO,1669906210
399,mayskiy,47.6931,40.1025,0.67,38,58,8.89,RU,1669906212
400,menongue,-14.6585,17.691,30.9,26,87,2.89,AO,1669906217
401,atasu,48.6814,71.6433,-10.74,96,100,1.7,KZ,1669906220
402,tondano,1.3038,124.9112,21.05,95,88,0.87,ID,1669906223
403,sakakah,29.9697,40.2064,19.76,43,0,2.72,SA,1669906035
404,kovur,14.4833,79.9833,25.04,85,8,2.28,IN,1669906229
405,twentynine palms,34.1356,-116.0542,9.47,53,86,1.5,US,1669906229
406,antofagasta,-23.65,-70.4,19.6,62,7,3.39,CL,1669906230
407,olavarria,-36.8927,-60.3225,23.57,48,57,5.87,AR,1669906231
408,medea,36.2642,2.7539,11.83,39,95,2.44,DZ,1669906158
409,stellenbosch,-33.9346,18.8668,25.52,65,87,4.8,ZA,1669906232
410,molina,-35.1167,-71.2833,22.43,42,0,3.09,CL,1669906001
411,beringovskiy,63.05,179.3167,1.53,99,100,6.17,RU,1669906235
412,grand gaube,-20.0064,57.6608,26.22,68,45,0.89,MU,1669906236
413,hovd,48.0056,91.6419,-19.39,73,47,1.61,MN,1669906237
414,preobrazheniye,42.9019,133.9064,-11.0,57,2,4.52,RU,1669906238
415,fort collins,40.5853,-105.0844,1.95,79,0,2.24,US,1669906238
416,kruisfontein,-34.0033,24.7314,23.82,50,50,5.06,ZA,1669906239
417,kayerkan,69.3497,87.7602,-16.63,98,100,2.18,RU,1669906239
418,sembakung,3.8167,117.25,23.27,95,100,0.4,ID,1669906240
419,bereda,43.2686,-7.5406,12.54,76,0,1.86,ES,1669906241
420,gravelbourg,49.8834,-106.5512,-9.85,94,95,4.33,CA,1669906241
421,fortuna,40.5982,-124.1573,6.19,96,75,3.09,US,1669905947
